user_id,product_id,rating,n_interactions,has_viewed,has_carted,has_purchased
207,386,5,0.0,0.0,0.0,0.0
383,469,3,0.0,0.0,0.0,0.0
349,260,2,0.0,0.0,0.0,0.0
754,252,3,0.0,0.0,0.0,0.0
555,236,2,0.0,0.0,0.0,0.0
44,482,5,0.0,0.0,0.0,0.0
820,468,3,0.0,0.0,0.0,0.0
449,59,5,0.0,0.0,0.0,0.0
4,278,4,0.0,0.0,0.0,0.0
384,280,5,0.0,0.0,0.0,0.0
401,353,4,0.0,0.0,0.0,0.0
641,14,1,0.0,0.0,0.0,0.0
333,41,1,0.0,0.0,0.0,0.0
859,442,3,0.0,0.0,0.0,0.0
444,35,3,1.0,1.0,0.0,0.0
45,366,5,0.0,0.0,0.0,0.0
849,387,5,0.0,0.0,0.0,0.0
923,125,4,0.0,0.0,0.0,0.0
304,349,3,0.0,0.0,0.0,0.0
59,112,3,0.0,0.0,0.0,0.0
970,338,2,0.0,0.0,0.0,0.0
116,245,2,0.0,0.0,0.0,0.0
928,11,2,0.0,0.0,0.0,0.0
177,142,2,0.0,0.0,0.0,0.0
297,213,2,0.0,0.0,0.0,0.0
932,334,1,0.0,0.0,0.0,0.0
91,304,1,0.0,0.0,0.0,0.0
27,112,5,0.0,0.0,0.0,0.0
200,455,5,0.0,0.0,0.0,0.0
685,210,3,0.0,0.0,0.0,0.0
57,473,2,0.0,0.0,0.0,0.0
232,432,1,0.0,0.0,0.0,0.0
415,295,5,0.0,0.0,0.0,0.0
999,262,5,0.0,0.0,0.0,0.0
192,386,3,0.0,0.0,0.0,0.0
874,191,3,0.0,0.0,0.0,0.0
668,379,1,0.0,0.0,0.0,0.0
898,429,3,0.0,0.0,0.0,0.0
211,210,3,0.0,0.0,0.0,0.0
870,193,5,0.0,0.0,0.0,0.0
524,407,2,0.0,0.0,0.0,0.0
20,275,2,0.0,0.0,0.0,0.0
447,71,4,0.0,0.0,0.0,0.0
386,336,1,0.0,0.0,0.0,0.0
581,270,5,0.0,0.0,0.0,0.0
991,372,1,0.0,0.0,0.0,0.0
714,8,3,1.0,0.0,0.0,0.0
264,265,3,0.0,0.0,0.0,0.0
149,300,3,0.0,0.0,0.0,0.0
198,259,4,1.0,1.0,0.0,0.0
562,460,1,0.0,0.0,0.0,0.0
204,238,4,0.0,0.0,0.0,0.0
989,360,4,0.0,0.0,0.0,0.0
910,281,5,0.0,0.0,0.0,0.0
789,444,2,1.0,1.0,0.0,0.0
156,374,2,0.0,0.0,0.0,0.0
633,280,2,0.0,0.0,0.0,0.0
92,66,4,0.0,0.0,0.0,0.0
613,216,2,0.0,0.0,0.0,1.0
270,220,3,0.0,0.0,0.0,0.0
94,218,4,1.0,0.0,1.0,0.0
376,36,5,0.0,0.0,0.0,0.0
516,89,4,0.0,0.0,0.0,0.0
465,39,2,0.0,0.0,0.0,0.0
273,83,2,0.0,0.0,0.0,0.0
323,10,4,0.0,0.0,0.0,0.0
829,365,3,0.0,0.0,0.0,0.0
538,471,1,0.0,0.0,0.0,0.0
68,91,5,0.0,0.0,0.0,0.0
81,278,2,0.0,0.0,0.0,0.0
351,81,4,0.0,0.0,0.0,0.0
772,263,2,1.0,0.0,1.0,0.0
829,307,1,0.0,0.0,0.0,1.0
437,432,5,0.0,0.0,0.0,0.0
640,418,5,0.0,0.0,0.0,0.0
962,355,2,1.0,0.0,1.0,0.0
351,366,2,0.0,0.0,0.0,0.0
897,14,1,1.0,0.0,0.0,0.0
449,175,1,0.0,0.0,0.0,0.0
456,177,2,0.0,0.0,0.0,0.0
643,142,1,0.0,0.0,0.0,0.0
132,482,4,0.0,0.0,0.0,0.0
743,401,1,0.0,0.0,0.0,0.0
432,190,2,0.0,0.0,0.0,0.0
396,65,5,1.0,0.0,0.0,0.0
945,251,4,0.0,0.0,0.0,0.0
342,459,3,0.0,0.0,0.0,0.0
583,431,2,0.0,0.0,0.0,0.0
19,90,1,0.0,0.0,0.0,0.0
967,427,1,0.0,0.0,0.0,0.0
515,288,2,0.0,0.0,0.0,0.0
417,64,1,0.0,0.0,0.0,0.0
942,283,1,0.0,0.0,0.0,0.0
247,70,1,0.0,0.0,0.0,0.0
605,290,3,0.0,0.0,0.0,0.0
997,178,1,0.0,0.0,0.0,0.0
605,427,3,0.0,0.0,0.0,0.0
166,339,4,0.0,0.0,0.0,0.0
833,205,5,0.0,0.0,0.0,0.0
594,429,3,0.0,0.0,0.0,0.0
208,468,2,0.0,0.0,0.0,0.0
635,134,2,0.0,0.0,0.0,0.0
627,247,5,0.0,0.0,0.0,0.0
793,73,3,0.0,0.0,0.0,0.0
797,468,3,0.0,0.0,0.0,0.0
333,85,3,0.0,0.0,0.0,0.0
470,395,3,0.0,0.0,0.0,0.0
877,91,3,0.0,0.0,0.0,0.0
276,357,1,0.0,0.0,0.0,0.0
22,154,2,0.0,0.0,0.0,0.0
202,10,5,1.0,0.0,0.0,0.0
551,459,3,0.0,0.0,0.0,0.0
664,102,5,0.0,0.0,0.0,0.0
857,311,1,0.0,0.0,0.0,0.0
618,91,2,0.0,0.0,0.0,0.0
241,71,5,0.0,0.0,0.0,0.0
725,466,2,0.0,0.0,0.0,0.0
958,187,2,0.0,0.0,0.0,0.0
580,210,5,0.0,0.0,0.0,0.0
553,7,4,0.0,0.0,0.0,0.0
469,462,5,1.0,1.0,0.0,0.0
454,239,1,0.0,0.0,0.0,0.0
288,376,3,0.0,0.0,0.0,0.0
581,365,3,0.0,0.0,0.0,0.0
612,95,1,0.0,0.0,0.0,0.0
456,125,1,0.0,0.0,0.0,0.0
21,71,1,0.0,0.0,0.0,0.0
373,109,3,0.0,0.0,0.0,0.0
488,136,1,0.0,0.0,0.0,0.0
604,400,1,0.0,0.0,0.0,0.0
607,271,3,0.0,0.0,0.0,0.0
407,80,5,0.0,0.0,0.0,0.0
902,207,3,0.0,0.0,0.0,0.0
365,253,5,0.0,0.0,0.0,0.0
712,353,4,1.0,1.0,0.0,0.0
409,343,4,0.0,0.0,0.0,0.0
726,354,2,0.0,0.0,0.0,0.0
581,279,5,0.0,0.0,0.0,0.0
492,256,2,0.0,0.0,0.0,0.0
397,437,2,1.0,1.0,0.0,0.0
223,279,4,0.0,0.0,0.0,0.0
796,480,3,0.0,0.0,0.0,0.0
88,57,5,0.0,0.0,0.0,0.0
931,154,2,0.0,0.0,0.0,0.0
183,482,1,0.0,0.0,0.0,0.0
116,127,3,1.0,0.0,0.0,0.0
280,483,4,0.0,0.0,0.0,0.0
583,481,5,0.0,0.0,0.0,0.0
886,408,3,0.0,0.0,0.0,0.0
172,156,5,0.0,0.0,0.0,0.0
482,333,1,0.0,0.0,0.0,0.0
151,232,2,0.0,0.0,0.0,0.0
973,284,3,0.0,0.0,0.0,0.0
785,196,5,0.0,0.0,0.0,0.0
667,74,3,0.0,0.0,0.0,0.0
196,111,2,0.0,0.0,0.0,0.0
675,485,3,0.0,0.0,0.0,0.0
267,381,4,0.0,0.0,0.0,0.0
616,463,4,0.0,0.0,0.0,0.0
400,379,3,0.0,0.0,0.0,0.0
106,105,5,0.0,0.0,0.0,0.0
907,207,1,0.0,0.0,0.0,0.0
713,220,3,0.0,0.0,0.0,0.0
343,191,3,0.0,0.0,0.0,0.0
247,194,3,0.0,0.0,0.0,0.0
610,347,2,0.0,0.0,0.0,0.0
233,124,3,0.0,0.0,0.0,0.0
694,370,4,0.0,0.0,0.0,0.0
571,219,1,0.0,0.0,0.0,0.0
821,205,5,0.0,0.0,0.0,0.0
472,109,3,0.0,0.0,0.0,0.0
693,60,5,0.0,0.0,0.0,0.0
219,293,1,0.0,0.0,0.0,0.0
623,2,5,0.0,0.0,0.0,0.0
823,172,3,0.0,0.0,0.0,0.0
891,342,3,0.0,0.0,0.0,0.0
949,163,3,0.0,0.0,0.0,0.0
430,97,3,0.0,0.0,0.0,0.0
704,260,4,1.0,0.0,0.0,0.0
622,123,5,0.0,0.0,0.0,0.0
584,277,4,0.0,0.0,0.0,0.0
38,284,1,0.0,0.0,0.0,0.0
