event_id,user_id,product_id,event_type,timestamp,session_id,device,page_url,hour_of_day,day_of_week,event_type_encoded,device_encoded
e13381a1-3402-4692-b0fc-238c17ae8766,579,73,click,2026-05-08 18:51:33,4ee4fcd9,mobile,/product/73,18,4,1,1
2767333c-8fd5-4d21-9eb8-30f67d93e703,710,118,click,2026-05-31 10:29:02,e2319899,desktop,/product/118,10,6,1,0
0007a339-1a1f-4afe-94cd-e469026b2589,681,55,view,2026-05-20 06:33:21,c35aa975,desktop,/product/55,6,2,3,0
e1fca01b-d97c-40c0-8624-b8ebf33dd549,204,254,wishlist,2026-06-06 23:27:42,a7e7c532,desktop,/product/254,23,5,4,0
a5311698-f17a-4577-87d0-023ab0cd262c,334,460,wishlist,2026-05-26 23:34:27,892eddad,desktop,/product/460,23,1,4,0
ffbb0254-8413-48ff-b1dd-fa847a0d05c5,555,60,view,2026-07-02 07:39:42,1ba4d0ce,desktop,/product/60,7,3,3,0
26353ad8-a92c-4fd3-b053-0141614789ed,562,376,click,2026-06-17 08:40:58,c6386ae0,tablet,/product/376,8,2,1,2
723c6600-3217-4f00-904d-2a7bd9cd9fc6,383,414,add_to_cart,2026-07-07 12:36:13,5cbe5469,mobile,/product/414,12,1,0,1
4f1c4b7f-9442-4bb6-adc1-eb1356fcb115,66,413,view,2026-05-21 00:39:27,e2cab61f,desktop,/product/413,0,3,3,0
bb352c25-df09-4960-a9b4-45d92d1637ea,7,327,view,2026-07-09 04:08:42,5cd48361,desktop,/product/327,4,3,3,0
57d8846b-5ac6-4ff4-afa8-85427d511b32,661,192,click,2026-05-15 18:20:16,7004a82a,desktop,/product/192,18,4,1,0
d401d076-ea6a-4717-abd2-e0222e84e800,778,164,add_to_cart,2026-05-06 19:05:21,5bea25a4,tablet,/product/164,19,2,0,2
913621d2-f6df-41cb-9e60-7b550782c039,31,179,wishlist,2026-05-24 16:05:03,367c12a8,mobile,/product/179,16,6,4,1
21454a2e-0e9c-45e0-82d5-a162116763b4,124,438,search,2026-06-01 19:01:02,45d1c194,mobile,/product/438,19,0,2,1
fdb03549-e283-47c7-8997-224b3ce54d6a,45,114,add_to_cart,2026-05-01 01:14:19,8a8acb45,tablet,/product/114,1,4,0,2
50ff1f4f-6750-45f1-9423-b6df727de4b6,595,249,view,2026-05-25 00:51:21,c717cc6d,mobile,/product/249,0,0,3,1
8c63f503-49b2-448c-a15e-729e102925ea,871,329,view,2026-05-15 14:18:37,1f302f02,mobile,/product/329,14,4,3,1
3275f0c0-17ea-4061-b4e4-2117e7f9e3b3,708,365,view,2026-04-23 11:32:17,2fe7f0cf,mobile,/product/365,11,3,3,1
aca9f58c-4705-4139-9e06-c08ff2f70da4,257,233,view,2026-04-30 23:54:15,dd6da9b5,mobile,/product/233,23,3,3,1
118abb38-ad64-4f1c-9723-c805fd412a49,269,482,view,2026-06-28 09:51:38,2ae1c693,tablet,/product/482,9,6,3,2
0a9b79ef-1933-4dc6-8932-190989ff5b38,173,298,click,2026-05-15 11:58:57,4f89079d,mobile,/product/298,11,4,1,1
ea2bc58e-3fb7-4721-aa1e-e0362fe07bca,165,361,click,2026-06-15 18:57:25,60f29e84,tablet,/product/361,18,0,1,2
d15ced78-d3f5-4956-bbdd-32b4471f796d,50,63,view,2026-05-10 05:28:44,0f4526e0,tablet,/product/63,5,6,3,2
e8528d48-7522-4396-9042-b9fe3f033777,354,43,click,2026-07-18 13:36:10,3a586a31,tablet,/product/43,13,5,1,2
